id,model,process_size_nm,transistor_count,die_size_mm2,launch_price_usd,release_date,core_count,thread_count,frequency_ghz,tdp_w,foundry
1,Xeon E5-2660 v2,22.0,1400.0,160,,2013-09-01,10,20,2.2,95.0,INTEL
2,Pentium G3440,22.0,1400.0,177,,2014-05-01,2,2,3.3,54.0,INTEL
3,Core i5-12400F,10.0,,163,174.0,2022-01-04,6,12,2.5,65.0,INTEL
4,Core i7-3770,22.0,1400.0,160,278.0,2012-04-29,4,8,3.4,77.0,INTEL
5,Opteron 6212,,,,,,,,,,
6,Core i7-9700KF,14.0,,180.3,374.0,2019-01-08,8,8,3.6,95.0,INTEL
7,Core i7-3930K C2,,,,,,,,,,
8,Core i9-10920X,14.0,,,,2019-10-19,12,24,3.5,165.0,INTEL
9,Ryzen 5 7600,5.0,6570.0,71,229.0,2023-01-14,6,12,3.8,65.0,TSMC
10,Ryzen Threadripper PRO 5965WX,7.0,16600.0,324,2399.0,2022-03-08,24,48,3.8,280.0,TSMC
11,Pentium G2130,22.0,,94,,2013-01-21,2,2,3.2,55.0,INTEL
12,Xeon E3-1245V3,,,,,,,,,,
13,Athlon 5150,28.0,,107,,2014-04-09,4,4,1.6,25.0,GLOBALFOUNDRIES
14,Core i3-8300,14.0,,126,138.0,2018-02-14,4,4,3.7,62.0,INTEL
15,EPYC 7502P,7.0,3800.0,74,,2019-08-07,32,64,2.5,180.0,TSMC
16,Xeon E3-1270V5,,,,,,,,,,
17,Core i3-4170,,,,,,,,,,
18,Ryzen Threadripper 2990WX,12.0,19200.0,852,1799.0,2018-08-13,32,64,3.0,250.0,GLOBALFOUNDRIES
19,Opteron 6320,,,,,,,,,,
20,Core i3-3250,,,,,,,,,,
21,Ryzen 3 3100,7.0,3800.0,74,99.0,2020-04-24,4,8,3.6,65.0,TSMC
22,Core i5-11400F,14.0,,276,,2021-03-16,6,12,2.6,65.0,INTEL
23,Core i3-6100T,,,,,,,,,,
24,Core i5-10500,14.0,,,,2020-04-30,6,12,3.1,65.0,INTEL
25,Ryzen 5 7600X,5.0,6570.0,71,299.0,2022-09-27,6,12,4.7,105.0,TSMC
26,Celeron G3900 ,14.0,1400.0,150,,2015-09-01,2,2,2.8,51.0,INTEL
27,Core i5-7640X,14.0,,,,2017-06-26,4,4,3.9,112.0,INTEL
28,EPYC 7402P,7.0,3800.0,74,,2019-08-07,24,48,2.8,180.0,TSMC
