neighborhood,district
"CHARLES HERMITE - EVANGILE","75018"
"GRANDES CARRIERES - CLICHY","75018"
"FLANDRE - AUBERVILLIERS","75019"
"BUTTES CHAUMONT","75019"
"PLACE DES FETES","75019"
"CHAILLOT","75016"
"SAINT-PHILIPPE DU ROULE","75008"
"GAILLON - VIVIENNE","75002"
"REPUBLIQUE - SAINT-AMBROISE","75011"
"PALAIS ROYAL","75002"
"BATIGNOLLES - CARDINET","75017"
"TERNES - MAILLOT","75017"
"COURCELLES - WAGRAM","75017"
"DUPLEIX - LA MOTTE PICQUET","75015"
"ODEON","75006"
"SAINT-PLACIDE","75006"
"VAL DE GRACE","75005"
"BEL-AIR SUD","75012"
"SALPETRIERE - AUSTERLITZ","75013"
"VAUGIRARD - PARC DES EXPOSITIONS","75015"
"RAMBUTEAU - FRANCS-BOURGEOIS","75003"
"BASTILLE - POPINCOURT","75011"
"PERNETY","75014"
"DIDOT - PORTE DE VANVES","75014"
"MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT","75018"
"LA FOURCHE - GUY MOQUET","75017"
"TRUDAINE - MAUBEUGE","75009"
"PORTE DES LILAS","75020"
"PARC MONCEAU","75008"
"BAS BELLEVILLE","75019"
"CHATEAU D'EAU - LANCRY","75010"
"TRIANGLE D'OR","75008"
"AMANDIERS","75020"
"SAINT-GERMAIN L'AUXERROIS","75001"
"CHAMPERRET - BERTHIER","75017"
"MANIN - JAURES","75019"
"SAINT-GERMAIN DES PRES","75006"
"ARSENAL","75004"
"ECOLE MILITAIRE","75007"
"EMERIAU - ZOLA","75015"
"AUTEUIL SUD","75016"
"CITROEN - BOUCICAUT","75015"
"DUNOIS - BIBLIOTHEQUE - JEANNE-D'ARC","75013"
"PERE LACHAISE - REUNION","75020"
"INVALIDES","75007"
"SAINT-THOMAS D'AQUIN","75007"
"MONTSOURIS - DAREAU","75014"
"JEAN MOULIN - PORTE D'ORLEANS","75014"
"PEUPLIERS - BRILLAT - RUNGIS","75013"
"AMIRAUX - SIMPLON - POISSONNIERS","75018"
"BASSIN DE LA VILLETTE","75019"
"EUROPE","75008"
"GRANGE AUX BELLES - TERRAGE","75010"
"PORTE DAUPHINE","75016"
"FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS","75010"
"ELYSEES - MADELEINE","75008"
"BELLEVILLE - SAINT-MAUR","75011"
"SENTIER - BONNE NOUVELLE","75002"
"MONTORGUEIL - SAINT-DENIS","75002"
"GOUTTE D'OR - CHATEAU ROUGE","75018"
"LEGENDRE - LEVIS","75017"
"MONNAIE","75006"
"PLAINE","75020"
"SORBONNE","75005"
"SAINT-VICTOR","75005"
"JARDIN DES PLANTES","75005"
"SAINT-LAMBERT","75015"
"PASTEUR - MONTPARNASSE","75015"
"ALLERAY - PROCESSION","75015"
"GROS CAILLOU","75007"
"SAINT-GERVAIS","75004"
"NATIONALE - DEUX MOULINS","75013"
"OLYMPIADES - CHOISY","75013"
"PONT DE FLANDRE","75019"
"CLIGNANCOURT - JULES JOFFRIN","75018"
"PEREIRE - MALESHERBES","75017"
"LORETTE - MARTYRS","75009"
"HOCHE - FRIEDLAND","75008"
"PORTE SAINT-DENIS - PARADIS","75010"
"MUETTE NORD","75016"
"GAMBETTA","75020"
"PLACE VENDOME","75001"
"TEMPLE","75003"
"MONTMARTRE","75018"
"SECRETAN","75019"
"CLICHY - TRINITE","75009"
"LES ILES","75004"
"ALIGRE - GARE DE LYON","75012"
"PICPUS CENTRE","75012"
"CAMBRONNE - GARIBALDI","75015"
"VIOLET - COMMERCE","75015"
"RASPAIL - MONTPARNASSE","75014"
"PICPUS SUD","75012"
"LEON BLUM - FOLIE-REGNAULT","75011"
"MUETTE SUD","75016"
"MOUTON-DUVERNET","75014"
"PATAY - MASSENA","75013"
"EPINETTES - BESSIERES","75017"
"LA CHAPELLE - MARX DORMOY","75018"
"LOUIS BLANC - AQUEDUC","75010"
"MAIRIE","75008"
"TELEGRAPHE - PELLEPORT - SAINT-FARGEAU","75020"
"LA FAYETTE - RICHER","75009"
"PROVENCE - OPERA","75009"
"BELLEVILLE","75020"
"REAUMUR","75002"
"AUTEUIL NORD","75016"
"LES HALLES","75001"
"DANUBE","75019"
"SAINT-VINCENT DE PAUL - LARIBOISIERE","75010"
"NATION - ALEXANDRE DUMAS","75011"
"RENNES","75006"
"PICPUS NORD","75012"
"BEL-AIR NORD","75012"
"NOTRE-DAME DES CHAMPS","75006"
"BERCY","75012"
"CROULEBARBE","75013"
"SAINT-BLAISE","75020"
"SAINT-MERRI","75004"
"GEORGES BRASSENS","75015"
"BUTTES AUX CAILLES - MOUCHEZ","75013"
